"","sector_abbr","bin_id","year","economic_lifetime_yrs","loan_term_yrs","loan_interest_rate","down_payment_fraction","tax_rate","real_discount_rate"
"180","res",6,2030,30,30,0.014634146,1,0.257,1
"181","res",6,2032,30,30,0.014634146,1,0.257,0.031
"182","res",6,2034,30,30,0.014634146,1,0.257,0.031
"183","res",6,2036,30,30,0.014634146,1,0.257,0.031
"184","res",6,2038,30,30,0.014634146,1,0.257,0.031
"185","res",6,2040,30,30,0.014634146,1,0.257,0.031
"186","res",6,2042,30,30,0.014634146,1,0.257,0.031
"187","res",6,2044,30,30,0.014634146,1,0.257,0.031
"188","res",6,2046,30,30,0.014634146,1,0.257,0.031
"189","res",6,2048,30,30,0.014634146,1,0.257,0.031
"190","res",6,2050,30,30,0.014634146,1,0.257,0.031
"191","res",7,2014,30,30,0.014634146,1,0.257,0.031
"192","res",7,2016,30,30,0.014634146,1,0.257,0.031
"193","res",7,2018,30,30,0.014634146,1,0.257,0.031
"194","res",7,2020,30,30,0.014634146,1,0.257,0.031
"195","res",7,2022,30,30,0.014634146,1,0.257,0.031
"196","res",7,2024,30,30,0.014634146,1,0.257,0.031
"197","res",7,2026,30,30,0.014634146,1,0.257,0.031
"198","res",7,2028,30,30,0.014634146,1,0.257,0.031
"199","res",7,2030,30,30,0.014634146,1,0.257,0.031
"200","res",7,2032,30,30,0.014634146,1,0.257,0.031
"201","res",7,2034,30,30,0.014634146,1,0.257,0.031
"202","res",7,2036,30,30,0.014634146,1,0.257,0.031
"203","res",7,2038,30,30,0.014634146,1,0.257,0.031
"204","res",7,2040,30,30,0.014634146,1,0.257,0.031
"205","res",7,2042,30,30,0.014634146,1,0.257,0.031
"206","res",7,2044,30,30,0.014634146,1,0.257,0.031
"207","res",7,2046,30,30,0.014634146,1,0.257,0.031
"208","res",7,2048,30,30,0.014634146,1,0.257,0.031
"209","res",7,2050,30,30,0.014634146,1,0.257,0.031
"210","res",8,2014,30,30,0.014634146,1,0.257,1
"211","res",8,2016,30,30,0.014634146,1,0.257,1
"212","res",8,2018,30,30,0.014634146,1,0.257,1
"213","res",8,2020,30,30,0.014634146,1,0.257,1
"214","res",8,2022,30,30,0.014634146,1,0.257,1
"215","res",8,2024,30,30,0.014634146,1,0.257,1
"216","res",8,2026,30,30,0.014634146,1,0.257,1
"217","res",8,2028,30,30,0.014634146,1,0.257,1
"218","res",8,2030,30,30,0.014634146,1,0.257,1
"219","res",8,2032,30,30,0.014634146,1,0.257,0.031
"220","res",8,2034,30,30,0.014634146,1,0.257,0.031
"221","res",8,2036,30,30,0.014634146,1,0.257,0.031
"222","res",8,2038,30,30,0.014634146,1,0.257,0.031
"223","res",8,2040,30,30,0.014634146,1,0.257,0.031
"224","res",8,2042,30,30,0.014634146,1,0.257,0.031
"225","res",8,2044,30,30,0.014634146,1,0.257,0.031
"226","res",8,2046,30,30,0.014634146,1,0.257,0.031
"227","res",8,2048,30,30,0.014634146,1,0.257,0.031
"228","res",8,2050,30,30,0.014634146,1,0.257,0.031
"229","res",9,2014,30,30,0.014634146,1,0.257,0.02451
"230","res",9,2016,30,30,0.014634146,1,0.257,0.02451
"231","res",9,2018,30,30,0.014634146,1,0.257,0.02451
"232","res",9,2020,30,30,0.014634146,1,0.257,0.02451
"233","res",9,2022,30,30,0.014634146,1,0.257,0.02451
"234","res",9,2024,30,30,0.014634146,1,0.257,0.02451
"235","res",9,2026,30,30,0.014634146,1,0.257,0.02451
"236","res",9,2028,30,30,0.014634146,1,0.257,0.02451
"237","res",9,2030,30,30,0.014634146,1,0.257,0.02451
"238","res",9,2032,30,30,0.014634146,1,0.257,0.02451
"239","res",9,2034,30,30,0.014634146,1,0.257,0.02451
"240","res",9,2036,30,30,0.014634146,1,0.257,0.02451
"241","res",9,2038,30,30,0.014634146,1,0.257,0.02451
"242","res",9,2040,30,30,0.014634146,1,0.257,0.02451
"243","res",9,2042,30,30,0.014634146,1,0.257,0.02451
"244","res",9,2044,30,30,0.014634146,1,0.257,0.02451
"245","res",9,2046,30,30,0.014634146,1,0.257,0.02451
"246","res",9,2048,30,30,0.014634146,1,0.257,0.02451
"247","res",9,2050,30,30,0.014634146,1,0.257,0.02451
